population,plato,mutation,media,desvio padrao,varianca
1000,100,0,125065.000,2707.436,7330209.000
1000,100,5,131808.000,1904.680,3627805.500
1000,100,10,133644.000,2613.967,6832823.000
1000,100,15,135600.000,2012.171,4048832.500
1000,100,20,135444.000,1529.584,2339628.000
1000,200,0,114851.000,5405.415,29218508.000
1000,200,5,132484.000,1706.532,2912253.250
1000,200,10,132630.000,2744.014,7529613.000
1000,200,15,134477.000,2111.274,4457478.500
1000,200,20,134676.000,1063.693,1131442.000
1000,300,0,111210.000,4644.779,21573974.000
1000,300,5,131575.000,1349.044,1819920.375
1000,300,10,131635.000,1159.538,1344529.375
1000,300,15,133441.000,1837.982,3378179.250
1000,300,20,134698.000,543.968,295900.812
1000,400,0,115051.000,7566.568,57252960.000
1000,400,5,127402.000,5204.101,27082662.000
1000,400,10,132138.000,2903.112,8428059.000
1000,400,15,132166.000,2704.764,7315751.000
1000,400,20,133639.000,1763.470,3109827.500
1000,500,0,110977.000,5822.487,33901356.000
1000,500,5,127881.000,3593.558,12913658.000
1000,500,10,130391.000,2652.531,7035918.500
1000,500,15,132017.000,2496.144,6230734.500
1000,500,20,131889.000,2525.883,6380085.000
